Departamento,Total de Cursos
DEPTO ADMINISTRAÇÃO,2
FACULDADE DE AGRONOMIA E MEDICINA VETERINÁRIA,1
FACULDADE DE ARQUITETURA E URBANISMO,2
FACULDADE DE CIÊNCIA DA INFORMAÇÃO,1
492,1
